Year,Race,Sex,AgeGroup,HispanicOrigin,Population
1900,Nonwhite,Female,10 to 14,NA,557000
1900,Nonwhite,Female,15 to 19,NA,522000
1900,Nonwhite,Female,20 to 24,NA,529000
1900,Nonwhite,Female,25 to 29,NA,391000
1900,Nonwhite,Female,30 to 34,NA,273000
1900,Nonwhite,Female,35 to 39,NA,251000
1900,Nonwhite,Female,40 to 44,NA,197000
1900,Nonwhite,Female,45 to 49,NA,165000
1900,Nonwhite,Female,5 to 9,NA,618000
1900,Nonwhite,Female,50 to 54,NA,142000
1900,Nonwhite,Female,55 to 59,NA,86000
1900,Nonwhite,Female,60 to 64,NA,80000
1900,Nonwhite,Female,65 to 69,NA,50000
1900,Nonwhite,Female,70 to 74,NA,38000
1900,Nonwhite,Female,75 years and over,NA,48000
1900,Nonwhite,Female,Under 5,NA,629000
1900,Nonwhite,Male,10 to 14,NA,564000
1900,Nonwhite,Male,15 to 19,NA,494000
1900,Nonwhite,Male,20 to 24,NA,486000
1900,Nonwhite,Male,25 to 29,NA,386000
1900,Nonwhite,Male,30 to 34,NA,286000
1900,Nonwhite,Male,35 to 39,NA,260000
1900,Nonwhite,Male,40 to 44,NA,205000
1900,Nonwhite,Male,45 to 49,NA,188000
1900,Nonwhite,Male,5 to 9,NA,617000
1900,Nonwhite,Male,50 to 54,NA,171000
1900,Nonwhite,Male,55 to 59,NA,106000
1900,Nonwhite,Male,60 to 64,NA,92000
1900,Nonwhite,Male,65 to 69,NA,60000
1900,Nonwhite,Male,70 to 74,NA,37000
1900,Nonwhite,Male,75 years and over,NA,43000
1900,Nonwhite,Male,Under 5,NA,623000
1900,White,Female,10 to 14,NA,3443000
1900,White,Female,15 to 19,NA,3289000
1900,White,Female,20 to 24,NA,3201000
1900,White,Female,25 to 29,NA,2832000
1900,White,Female,30 to 34,NA,2395000
1900,White,Female,35 to 39,NA,2109000
1900,White,Female,40 to 44,NA,1806000
1900,White,Female,45 to 49,NA,1459000
1900,White,Female,5 to 9,NA,3779000
1900,White,Female,50 to 54,NA,1243000
1900,White,Female,55 to 59,NA,985000
1900,White,Female,60 to 64,NA,799000
1900,White,Female,65 to 69,NA,589000
1900,White,Female,70 to 74,NA,399000
1900,White,Female,75 years and over,NA,410000
1900,White,Female,Under 5,NA,3913000
1900,White,Male,10 to 14,NA,3522000
1900,White,Male,15 to 19,NA,3263000
1900,White,Male,20 to 24,NA,3167000
1900,White,Male,25 to 29,NA,2963000
1900,White,Male,30 to 34,NA,2635000
1900,White,Male,35 to 39,NA,2376000
1900,White,Male,40 to 44,NA,2069000
1900,White,Male,45 to 49,NA,1663000
1900,White,Male,5 to 9,NA,3866000
1900,White,Male,50 to 54,NA,1406000
1900,White,Male,55 to 59,NA,1047000
1900,White,Male,60 to 64,NA,831000
1900,White,Male,65 to 69,NA,613000
1900,White,Male,70 to 74,NA,414000
1900,White,Male,75 years and over,NA,398000
1900,White,Male,Under 5,NA,4016000
1901,Nonwhite,Female,10 to 14,NA,561000
1901,Nonwhite,Female,15 to 19,NA,526000
1901,Nonwhite,Female,20 to 24,NA,536000
1901,Nonwhite,Female,25 to 29,NA,402000
1901,Nonwhite,Female,30 to 34,NA,282000
1901,Nonwhite,Female,35 to 39,NA,257000
1901,Nonwhite,Female,40 to 44,NA,200000
1901,Nonwhite,Female,45 to 49,NA,168000
1901,Nonwhite,Female,5 to 9,NA,624000
1901,Nonwhite,Female,50 to 54,NA,143000
1901,Nonwhite,Female,55 to 59,NA,87000
1901,Nonwhite,Female,60 to 64,NA,81000
1901,Nonwhite,Female,65 to 69,NA,50000
1901,Nonwhite,Female,70 to 74,NA,38000
1901,Nonwhite,Female,75 years and over,NA,49000
1901,Nonwhite,Female,Under 5,NA,635000
1901,Nonwhite,Male,10 to 14,NA,566000
1901,Nonwhite,Male,15 to 19,NA,497000
1901,Nonwhite,Male,20 to 24,NA,493000
1901,Nonwhite,Male,25 to 29,NA,394000
1901,Nonwhite,Male,30 to 34,NA,292000
1901,Nonwhite,Male,35 to 39,NA,265000
1901,Nonwhite,Male,40 to 44,NA,207000
1901,Nonwhite,Male,45 to 49,NA,190000
1901,Nonwhite,Male,5 to 9,NA,622000
1901,Nonwhite,Male,50 to 54,NA,174000
1901,Nonwhite,Male,55 to 59,NA,109000
1901,Nonwhite,Male,60 to 64,NA,96000
1901,Nonwhite,Male,65 to 69,NA,62000
1901,Nonwhite,Male,70 to 74,NA,39000
1901,Nonwhite,Male,75 years and over,NA,44000
1901,Nonwhite,Male,Under 5,NA,628000
1901,White,Female,10 to 14,NA,3487000
1901,White,Female,15 to 19,NA,3349000
1901,White,Female,20 to 24,NA,3269000
1901,White,Female,25 to 29,NA,2894000
1901,White,Female,30 to 34,NA,2446000
1901,White,Female,35 to 39,NA,2166000
1901,White,Female,40 to 44,NA,1849000
1901,White,Female,45 to 49,NA,1495000
1901,White,Female,5 to 9,NA,3822000
1901,White,Female,50 to 54,NA,1277000
1901,White,Female,55 to 59,NA,1007000
1901,White,Female,60 to 64,NA,816000
1901,White,Female,65 to 69,NA,605000
1901,White,Female,70 to 74,NA,408000
1901,White,Female,75 years and over,NA,421000
1901,White,Female,Under 5,NA,3985000
1901,White,Male,10 to 14,NA,3567000
1901,White,Male,15 to 19,NA,3326000
1901,White,Male,20 to 24,NA,3246000
1901,White,Male,25 to 29,NA,3039000
1901,White,Male,30 to 34,NA,2693000
1901,White,Male,35 to 39,NA,2438000
1901,White,Male,40 to 44,NA,2122000
1901,White,Male,45 to 49,NA,1708000
1901,White,Male,5 to 9,NA,3909000
1901,White,Male,50 to 54,NA,1451000
1901,White,Male,55 to 59,NA,1076000
1901,White,Male,60 to 64,NA,850000
1901,White,Male,65 to 69,NA,628000
1901,White,Male,70 to 74,NA,422000
1901,White,Male,75 years and over,NA,408000
1901,White,Male,Under 5,NA,4088000
1902,Nonwhite,Female,10 to 14,NA,564000
1902,Nonwhite,Female,15 to 19,NA,531000
1902,Nonwhite,Female,20 to 24,NA,544000
1902,Nonwhite,Female,25 to 29,NA,410000
1902,Nonwhite,Female,30 to 34,NA,289000
1902,Nonwhite,Female,35 to 39,NA,263000
1902,Nonwhite,Female,40 to 44,NA,203000
1902,Nonwhite,Female,45 to 49,NA,170000
1902,Nonwhite,Female,5 to 9,NA,629000
1902,Nonwhite,Female,50 to 54,NA,146000
1902,Nonwhite,Female,55 to 59,NA,91000
1902,Nonwhite,Female,60 to 64,NA,81000
1902,Nonwhite,Female,65 to 69,NA,51000
1902,Nonwhite,Female,70 to 74,NA,38000
1902,Nonwhite,Female,75 years and over,NA,49000
1902,Nonwhite,Female,Under 5,NA,644000
1902,Nonwhite,Male,10 to 14,NA,569000
1902,Nonwhite,Male,15 to 19,NA,500000
1902,Nonwhite,Male,20 to 24,NA,498000
1902,Nonwhite,Male,25 to 29,NA,401000
1902,Nonwhite,Male,30 to 34,NA,301000
1902,Nonwhite,Male,35 to 39,NA,272000
1902,Nonwhite,Male,40 to 44,NA,211000
1902,Nonwhite,Male,45 to 49,NA,193000
1902,Nonwhite,Male,5 to 9,NA,625000
1902,Nonwhite,Male,50 to 54,NA,177000
1902,Nonwhite,Male,55 to 59,NA,111000
1902,Nonwhite,Male,60 to 64,NA,97000
1902,Nonwhite,Male,65 to 69,NA,62000
1902,Nonwhite,Male,70 to 74,NA,41000
1902,Nonwhite,Male,75 years and over,NA,44000
1902,Nonwhite,Male,Under 5,NA,636000
1902,White,Female,10 to 14,NA,3535000
1902,White,Female,15 to 19,NA,3413000
1902,White,Female,20 to 24,NA,3339000
1902,White,Female,25 to 29,NA,2959000
1902,White,Female,30 to 34,NA,2502000
1902,White,Female,35 to 39,NA,2225000
1902,White,Female,40 to 44,NA,1895000
1902,White,Female,45 to 49,NA,1535000
1902,White,Female,5 to 9,NA,3869000
1902,White,Female,50 to 54,NA,1311000
1902,White,Female,55 to 59,NA,1029000
1902,White,Female,60 to 64,NA,833000
1902,White,Female,65 to 69,NA,622000
1902,White,Female,70 to 74,NA,419000
1902,White,Female,75 years and over,NA,433000
1902,White,Female,Under 5,NA,4058000
1902,White,Male,10 to 14,NA,3613000
1902,White,Male,15 to 19,NA,3398000
1902,White,Male,20 to 24,NA,3332000
1902,White,Male,25 to 29,NA,3120000
1902,White,Male,30 to 34,NA,2755000
1902,White,Male,35 to 39,NA,2501000
1902,White,Male,40 to 44,NA,2175000
1902,White,Male,45 to 49,NA,1756000
1902,White,Male,5 to 9,NA,3956000
1902,White,Male,50 to 54,NA,1500000
1902,White,Male,55 to 59,NA,1107000
1902,White,Male,60 to 64,NA,871000
1902,White,Male,65 to 69,NA,646000
1902,White,Male,70 to 74,NA,432000
1902,White,Male,75 years and over,NA,419000
1902,White,Male,Under 5,NA,4164000
1903,Nonwhite,Female,10 to 14,NA,568000
1903,Nonwhite,Female,15 to 19,NA,536000
1903,Nonwhite,Female,20 to 24,NA,548000
1903,Nonwhite,Female,25 to 29,NA,419000
1903,Nonwhite,Female,30 to 34,NA,296000
1903,Nonwhite,Female,35 to 39,NA,269000
1903,Nonwhite,Female,40 to 44,NA,207000
1903,Nonwhite,Female,45 to 49,NA,173000
1903,Nonwhite,Female,5 to 9,NA,631000
1903,Nonwhite,Female,50 to 54,NA,147000
1903,Nonwhite,Female,55 to 59,NA,91000
1903,Nonwhite,Female,60 to 64,NA,83000
1903,Nonwhite,Female,65 to 69,NA,52000
1903,Nonwhite,Female,70 to 74,NA,39000
1903,Nonwhite,Female,75 years and over,NA,50000
1903,Nonwhite,Female,Under 5,NA,648000
1903,Nonwhite,Male,10 to 14,NA,571000
1903,Nonwhite,Male,15 to 19,NA,504000
1903,Nonwhite,Male,20 to 24,NA,503000
1903,Nonwhite,Male,25 to 29,NA,409000
1903,Nonwhite,Male,30 to 34,NA,307000
1903,Nonwhite,Male,35 to 39,NA,279000
1903,Nonwhite,Male,40 to 44,NA,215000
1903,Nonwhite,Male,45 to 49,NA,195000
1903,Nonwhite,Male,5 to 9,NA,627000
1903,Nonwhite,Male,50 to 54,NA,179000
1903,Nonwhite,Male,55 to 59,NA,113000
1903,Nonwhite,Male,60 to 64,NA,99000
1903,Nonwhite,Male,65 to 69,NA,64000
1903,Nonwhite,Male,70 to 74,NA,40000
1903,Nonwhite,Male,75 years and over,NA,45000
1903,Nonwhite,Male,Under 5,NA,641000
1903,White,Female,10 to 14,NA,3576000
1903,White,Female,15 to 19,NA,3477000
1903,White,Female,20 to 24,NA,3407000
1903,White,Female,25 to 29,NA,3019000
1903,White,Female,30 to 34,NA,2554000
1903,White,Female,35 to 39,NA,2282000
1903,White,Female,40 to 44,NA,1935000
1903,White,Female,45 to 49,NA,1575000
1903,White,Female,5 to 9,NA,3905000
1903,White,Female,50 to 54,NA,1347000
1903,White,Female,55 to 59,NA,1049000
1903,White,Female,60 to 64,NA,850000
1903,White,Female,65 to 69,NA,637000
1903,White,Female,70 to 74,NA,430000
1903,White,Female,75 years and over,NA,445000
1903,White,Female,Under 5,NA,4125000
1903,White,Male,10 to 14,NA,3654000
1903,White,Male,15 to 19,NA,3465000
1903,White,Male,20 to 24,NA,3418000
1903,White,Male,25 to 29,NA,3201000
1903,White,Male,30 to 34,NA,2814000
1903,White,Male,35 to 39,NA,2564000
1903,White,Male,40 to 44,NA,2223000
1903,White,Male,45 to 49,NA,1801000
1903,White,Male,5 to 9,NA,3992000
1903,White,Male,50 to 54,NA,1547000
1903,White,Male,55 to 59,NA,1137000
1903,White,Male,60 to 64,NA,891000
1903,White,Male,65 to 69,NA,661000
1903,White,Male,70 to 74,NA,442000
1903,White,Male,75 years and over,NA,430000
1903,White,Male,Under 5,NA,4231000
1904,Nonwhite,Female,10 to 14,NA,569000
1904,Nonwhite,Female,15 to 19,NA,540000
1904,Nonwhite,Female,20 to 24,NA,554000
1904,Nonwhite,Female,25 to 29,NA,428000
1904,Nonwhite,Female,30 to 34,NA,303000
1904,Nonwhite,Female,35 to 39,NA,275000
1904,Nonwhite,Female,40 to 44,NA,209000
1904,Nonwhite,Female,45 to 49,NA,175000
1904,Nonwhite,Female,5 to 9,NA,634000
1904,Nonwhite,Female,50 to 54,NA,148000
1904,Nonwhite,Female,55 to 59,NA,92000
1904,Nonwhite,Female,60 to 64,NA,85000
1904,Nonwhite,Female,65 to 69,NA,52000
1904,Nonwhite,Female,70 to 74,NA,40000
1904,Nonwhite,Female,75 years and over,NA,50000
1904,Nonwhite,Female,Under 5,NA,652000
1904,Nonwhite,Male,10 to 14,NA,574000
1904,Nonwhite,Male,15 to 19,NA,508000
1904,Nonwhite,Male,20 to 24,NA,504000
1904,Nonwhite,Male,25 to 29,NA,416000
1904,Nonwhite,Male,30 to 34,NA,316000
1904,Nonwhite,Male,35 to 39,NA,286000
1904,Nonwhite,Male,40 to 44,NA,221000
1904,Nonwhite,Male,45 to 49,NA,197000
1904,Nonwhite,Male,5 to 9,NA,629000
1904,Nonwhite,Male,50 to 54,NA,182000
1904,Nonwhite,Male,55 to 59,NA,115000
1904,Nonwhite,Male,60 to 64,NA,100000
1904,Nonwhite,Male,65 to 69,NA,65000
1904,Nonwhite,Male,70 to 74,NA,39000
1904,Nonwhite,Male,75 years and over,NA,45000
1904,Nonwhite,Male,Under 5,NA,643000
1904,White,Female,10 to 14,NA,3617000
1904,White,Female,15 to 19,NA,3544000
1904,White,Female,20 to 24,NA,3477000
1904,White,Female,25 to 29,NA,3081000
1904,White,Female,30 to 34,NA,2608000
1904,White,Female,35 to 39,NA,2343000
1904,White,Female,40 to 44,NA,1978000
1904,White,Female,45 to 49,NA,1615000
1904,White,Female,5 to 9,NA,3943000
1904,White,Female,50 to 54,NA,1384000
1904,White,Female,55 to 59,NA,1069000
1904,White,Female,60 to 64,NA,868000
1904,White,Female,65 to 69,NA,653000
1904,White,Female,70 to 74,NA,440000
1904,White,Female,75 years and over,NA,457000
1904,White,Female,Under 5,NA,4194000
1904,White,Male,10 to 14,NA,3700000
1904,White,Male,15 to 19,NA,3539000
1904,White,Male,20 to 24,NA,3512000
1904,White,Male,25 to 29,NA,3285000
1904,White,Male,30 to 34,NA,2878000
1904,White,Male,35 to 39,NA,2626000
1904,White,Male,40 to 44,NA,2273000
1904,White,Male,45 to 49,NA,1850000
1904,White,Male,5 to 9,NA,4031000
1904,White,Male,50 to 54,NA,1599000
1904,White,Male,55 to 59,NA,1168000
1904,White,Male,60 to 64,NA,913000
1904,White,Male,65 to 69,NA,680000
1904,White,Male,70 to 74,NA,452000
1904,White,Male,75 years and over,NA,441000
1904,White,Male,Under 5,NA,4302000
1905,Nonwhite,Female,10 to 14,NA,573000
1905,Nonwhite,Female,15 to 19,NA,546000
1905,Nonwhite,Female,20 to 24,NA,559000
1905,Nonwhite,Female,25 to 29,NA,436000
1905,Nonwhite,Female,30 to 34,NA,310000
1905,Nonwhite,Female,35 to 39,NA,283000
1905,Nonwhite,Female,40 to 44,NA,214000
1905,Nonwhite,Female,45 to 49,NA,178000
1905,Nonwhite,Female,5 to 9,NA,638000
1905,Nonwhite,Female,50 to 54,NA,149000
1905,Nonwhite,Female,55 to 59,NA,95000
1905,Nonwhite,Female,60 to 64,NA,86000
1905,Nonwhite,Female,65 to 69,NA,55000
1905,Nonwhite,Female,70 to 74,NA,41000
1905,Nonwhite,Female,75 years and over,NA,50000
1905,Nonwhite,Female,Under 5,NA,657000
1905,Nonwhite,Male,10 to 14,NA,576000
1905,Nonwhite,Male,15 to 19,NA,510000
1905,Nonwhite,Male,20 to 24,NA,509000
1905,Nonwhite,Male,25 to 29,NA,424000
1905,Nonwhite,Male,30 to 34,NA,322000
1905,Nonwhite,Male,35 to 39,NA,295000
1905,Nonwhite,Male,40 to 44,NA,225000
1905,Nonwhite,Male,45 to 49,NA,199000
1905,Nonwhite,Male,5 to 9,NA,632000
1905,Nonwhite,Male,50 to 54,NA,183000
1905,Nonwhite,Male,55 to 59,NA,117000
1905,Nonwhite,Male,60 to 64,NA,102000
1905,Nonwhite,Male,65 to 69,NA,66000
1905,Nonwhite,Male,70 to 74,NA,41000
1905,Nonwhite,Male,75 years and over,NA,45000
1905,Nonwhite,Male,Under 5,NA,647000
1905,White,Female,10 to 14,NA,3665000
1905,White,Female,15 to 19,NA,3615000
1905,White,Female,20 to 24,NA,3556000
1905,White,Female,25 to 29,NA,3147000
1905,White,Female,30 to 34,NA,2668000
1905,White,Female,35 to 39,NA,2404000
1905,White,Female,40 to 44,NA,2024000
1905,White,Female,45 to 49,NA,1662000
1905,White,Female,5 to 9,NA,3983000
1905,White,Female,50 to 54,NA,1426000
1905,White,Female,55 to 59,NA,1092000
1905,White,Female,60 to 64,NA,887000
1905,White,Female,65 to 69,NA,671000
1905,White,Female,70 to 74,NA,452000
1905,White,Female,75 years and over,NA,471000
1905,White,Female,Under 5,NA,4264000
1905,White,Male,10 to 14,NA,3748000
1905,White,Male,15 to 19,NA,3618000
1905,White,Male,20 to 24,NA,3613000
1905,White,Male,25 to 29,NA,3375000
1905,White,Male,30 to 34,NA,2949000
1905,White,Male,35 to 39,NA,2695000
1905,White,Male,40 to 44,NA,2321000
1905,White,Male,45 to 49,NA,1901000
1905,White,Male,5 to 9,NA,4073000
1905,White,Male,50 to 54,NA,1652000
1905,White,Male,55 to 59,NA,1200000
1905,White,Male,60 to 64,NA,938000
1905,White,Male,65 to 69,NA,697000
1905,White,Male,70 to 74,NA,463000
1905,White,Male,75 years and over,NA,453000
1905,White,Male,Under 5,NA,4376000
1906,Nonwhite,Female,10 to 14,NA,577000
1906,Nonwhite,Female,15 to 19,NA,550000
1906,Nonwhite,Female,20 to 24,NA,561000
1906,Nonwhite,Female,25 to 29,NA,445000
1906,Nonwhite,Female,30 to 34,NA,319000
1906,Nonwhite,Female,35 to 39,NA,291000
1906,Nonwhite,Female,40 to 44,NA,217000
1906,Nonwhite,Female,45 to 49,NA,180000
1906,Nonwhite,Female,5 to 9,NA,639000
1906,Nonwhite,Female,50 to 54,NA,150000
1906,Nonwhite,Female,55 to 59,NA,96000
1906,Nonwhite,Female,60 to 64,NA,86000
1906,Nonwhite,Female,65 to 69,NA,56000
1906,Nonwhite,Female,70 to 74,NA,41000
1906,Nonwhite,Female,75 years and over,NA,50000
1906,Nonwhite,Female,Under 5,NA,658000
1906,Nonwhite,Male,10 to 14,NA,579000
1906,Nonwhite,Male,15 to 19,NA,514000
1906,Nonwhite,Male,20 to 24,NA,511000
1906,Nonwhite,Male,25 to 29,NA,432000
1906,Nonwhite,Male,30 to 34,NA,331000
1906,Nonwhite,Male,35 to 39,NA,305000
1906,Nonwhite,Male,40 to 44,NA,230000
1906,Nonwhite,Male,45 to 49,NA,203000
1906,Nonwhite,Male,5 to 9,NA,633000
1906,Nonwhite,Male,50 to 54,NA,186000
1906,Nonwhite,Male,55 to 59,NA,119000
1906,Nonwhite,Male,60 to 64,NA,104000
1906,Nonwhite,Male,65 to 69,NA,66000
1906,Nonwhite,Male,70 to 74,NA,41000
1906,Nonwhite,Male,75 years and over,NA,46000
1906,Nonwhite,Male,Under 5,NA,651000
1906,White,Female,10 to 14,NA,3711000
1906,White,Female,15 to 19,NA,3689000
1906,White,Female,20 to 24,NA,3630000
1906,White,Female,25 to 29,NA,3212000
1906,White,Female,30 to 34,NA,2729000
1906,White,Female,35 to 39,NA,2466000
1906,White,Female,40 to 44,NA,2068000
1906,White,Female,45 to 49,NA,1707000
1906,White,Female,5 to 9,NA,4020000
1906,White,Female,50 to 54,NA,1468000
1906,White,Female,55 to 59,NA,1111000
1906,White,Female,60 to 64,NA,908000
1906,White,Female,65 to 69,NA,690000
1906,White,Female,70 to 74,NA,465000
1906,White,Female,75 years and over,NA,485000
1906,White,Female,Under 5,NA,4334000
1906,White,Male,10 to 14,NA,3795000
1906,White,Male,15 to 19,NA,3697000
1906,White,Male,20 to 24,NA,3712000
1906,White,Male,25 to 29,NA,3464000
1906,White,Male,30 to 34,NA,3020000
1906,White,Male,35 to 39,NA,2761000
1906,White,Male,40 to 44,NA,2367000
1906,White,Male,45 to 49,NA,1953000
1906,White,Male,5 to 9,NA,4113000
1906,White,Male,50 to 54,NA,1707000
1906,White,Male,55 to 59,NA,1232000
1906,White,Male,60 to 64,NA,965000
1906,White,Male,65 to 69,NA,716000
1906,White,Male,70 to 74,NA,474000
1906,White,Male,75 years and over,NA,465000
1906,White,Male,Under 5,NA,4449000
1907,Nonwhite,Female,10 to 14,NA,581000
1907,Nonwhite,Female,15 to 19,NA,552000
1907,Nonwhite,Female,20 to 24,NA,562000
1907,Nonwhite,Female,25 to 29,NA,452000
1907,Nonwhite,Female,30 to 34,NA,326000
1907,Nonwhite,Female,35 to 39,NA,299000
1907,Nonwhite,Female,40 to 44,NA,220000
1907,Nonwhite,Female,45 to 49,NA,183000
1907,Nonwhite,Female,5 to 9,NA,642000
1907,Nonwhite,Female,50 to 54,NA,150000
1907,Nonwhite,Female,55 to 59,NA,96000
1907,Nonwhite,Female,60 to 64,NA,86000
1907,Nonwhite,Female,65 to 69,NA,56000
1907,Nonwhite,Female,70 to 74,NA,41000
1907,Nonwhite,Female,75 years and over,NA,50000
1907,Nonwhite,Female,Under 5,NA,658000
1907,Nonwhite,Male,10 to 14,NA,582000
1907,Nonwhite,Male,15 to 19,NA,519000
1907,Nonwhite,Male,20 to 24,NA,511000
1907,Nonwhite,Male,25 to 29,NA,438000
1907,Nonwhite,Male,30 to 34,NA,339000
1907,Nonwhite,Male,35 to 39,NA,315000
1907,Nonwhite,Male,40 to 44,NA,235000
1907,Nonwhite,Male,45 to 49,NA,204000
1907,Nonwhite,Male,5 to 9,NA,634000
1907,Nonwhite,Male,50 to 54,NA,188000
1907,Nonwhite,Male,55 to 59,NA,120000
1907,Nonwhite,Male,60 to 64,NA,105000
1907,Nonwhite,Male,65 to 69,NA,69000
1907,Nonwhite,Male,70 to 74,NA,43000
1907,Nonwhite,Male,75 years and over,NA,46000
1907,Nonwhite,Male,Under 5,NA,651000
1907,White,Female,10 to 14,NA,3756000
1907,White,Female,15 to 19,NA,3757000
1907,White,Female,20 to 24,NA,3703000
1907,White,Female,25 to 29,NA,3275000
1907,White,Female,30 to 34,NA,2786000
1907,White,Female,35 to 39,NA,2525000
1907,White,Female,40 to 44,NA,2111000
1907,White,Female,45 to 49,NA,1754000
1907,White,Female,5 to 9,NA,4056000
1907,White,Female,50 to 54,NA,1511000
1907,White,Female,55 to 59,NA,1134000
1907,White,Female,60 to 64,NA,927000
1907,White,Female,65 to 69,NA,705000
1907,White,Female,70 to 74,NA,477000
1907,White,Female,75 years and over,NA,500000
1907,White,Female,Under 5,NA,4395000
1907,White,Male,10 to 14,NA,3840000
1907,White,Male,15 to 19,NA,3772000
1907,White,Male,20 to 24,NA,3808000
1907,White,Male,25 to 29,NA,3550000
1907,White,Male,30 to 34,NA,3091000
1907,White,Male,35 to 39,NA,2828000
1907,White,Male,40 to 44,NA,2412000
1907,White,Male,45 to 49,NA,2005000
1907,White,Male,5 to 9,NA,4148000
1907,White,Male,50 to 54,NA,1760000
1907,White,Male,55 to 59,NA,1265000
1907,White,Male,60 to 64,NA,991000
1907,White,Male,65 to 69,NA,735000
1907,White,Male,70 to 74,NA,485000
1907,White,Male,75 years and over,NA,477000
1907,White,Male,Under 5,NA,4516000
1908,Nonwhite,Female,10 to 14,NA,583000
1908,Nonwhite,Female,15 to 19,NA,557000
1908,Nonwhite,Female,20 to 24,NA,563000
1908,Nonwhite,Female,25 to 29,NA,460000
1908,Nonwhite,Female,30 to 34,NA,334000
1908,Nonwhite,Female,35 to 39,NA,307000
1908,Nonwhite,Female,40 to 44,NA,225000
1908,Nonwhite,Female,45 to 49,NA,186000
1908,Nonwhite,Female,5 to 9,NA,643000
1908,Nonwhite,Female,50 to 54,NA,151000
1908,Nonwhite,Female,55 to 59,NA,97000
1908,Nonwhite,Female,60 to 64,NA,87000
1908,Nonwhite,Female,65 to 69,NA,57000
1908,Nonwhite,Female,70 to 74,NA,41000
1908,Nonwhite,Female,75 years and over,NA,51000
1908,Nonwhite,Female,Under 5,NA,658000
1908,Nonwhite,Male,10 to 14,NA,587000
1908,Nonwhite,Male,15 to 19,NA,521000
1908,Nonwhite,Male,20 to 24,NA,513000
1908,Nonwhite,Male,25 to 29,NA,444000
1908,Nonwhite,Male,30 to 34,NA,348000
1908,Nonwhite,Male,35 to 39,NA,325000
1908,Nonwhite,Male,40 to 44,NA,240000
1908,Nonwhite,Male,45 to 49,NA,209000
1908,Nonwhite,Male,5 to 9,NA,636000
1908,Nonwhite,Male,50 to 54,NA,189000
1908,Nonwhite,Male,55 to 59,NA,122000
1908,Nonwhite,Male,60 to 64,NA,107000
1908,Nonwhite,Male,65 to 69,NA,70000
1908,Nonwhite,Male,70 to 74,NA,43000
1908,Nonwhite,Male,75 years and over,NA,46000
1908,Nonwhite,Male,Under 5,NA,652000
1908,White,Female,10 to 14,NA,3807000
1908,White,Female,15 to 19,NA,3832000
1908,White,Female,20 to 24,NA,3780000
1908,White,Female,25 to 29,NA,3343000
1908,White,Female,30 to 34,NA,2851000
1908,White,Female,35 to 39,NA,2591000
1908,White,Female,40 to 44,NA,2157000
1908,White,Female,45 to 49,NA,1805000
1908,White,Female,5 to 9,NA,4098000
1908,White,Female,50 to 54,NA,1555000
1908,White,Female,55 to 59,NA,1156000
1908,White,Female,60 to 64,NA,949000
1908,White,Female,65 to 69,NA,724000
1908,White,Female,70 to 74,NA,488000
1908,White,Female,75 years and over,NA,516000
1908,White,Female,Under 5,NA,4464000
1908,White,Male,10 to 14,NA,3894000
1908,White,Male,15 to 19,NA,3852000
1908,White,Male,20 to 24,NA,3908000
1908,White,Male,25 to 29,NA,3641000
1908,White,Male,30 to 34,NA,3164000
1908,White,Male,35 to 39,NA,2898000
1908,White,Male,40 to 44,NA,2459000
1908,White,Male,45 to 49,NA,2062000
1908,White,Male,5 to 9,NA,4192000
1908,White,Male,50 to 54,NA,1817000
1908,White,Male,55 to 59,NA,1301000
1908,White,Male,60 to 64,NA,1021000
1908,White,Male,65 to 69,NA,756000
1908,White,Male,70 to 74,NA,497000
1908,White,Male,75 years and over,NA,490000
1908,White,Male,Under 5,NA,4590000
1909,Nonwhite,Female,10 to 14,NA,589000
1909,Nonwhite,Female,15 to 19,NA,563000
1909,Nonwhite,Female,20 to 24,NA,563000
1909,Nonwhite,Female,25 to 29,NA,466000
1909,Nonwhite,Female,30 to 34,NA,341000
1909,Nonwhite,Female,35 to 39,NA,315000
1909,Nonwhite,Female,40 to 44,NA,231000
1909,Nonwhite,Female,45 to 49,NA,189000
1909,Nonwhite,Female,5 to 9,NA,644000
1909,Nonwhite,Female,50 to 54,NA,151000
1909,Nonwhite,Female,55 to 59,NA,97000
1909,Nonwhite,Female,60 to 64,NA,89000
1909,Nonwhite,Female,65 to 69,NA,57000
1909,Nonwhite,Female,70 to 74,NA,41000
1909,Nonwhite,Female,75 years and over,NA,51000
1909,Nonwhite,Female,Under 5,NA,657000
1909,Nonwhite,Male,10 to 14,NA,592000
1909,Nonwhite,Male,15 to 19,NA,525000
1909,Nonwhite,Male,20 to 24,NA,513000
1909,Nonwhite,Male,25 to 29,NA,450000
1909,Nonwhite,Male,30 to 34,NA,355000
1909,Nonwhite,Male,35 to 39,NA,336000
1909,Nonwhite,Male,40 to 44,NA,246000
1909,Nonwhite,Male,45 to 49,NA,214000
1909,Nonwhite,Male,5 to 9,NA,638000
1909,Nonwhite,Male,50 to 54,NA,192000
1909,Nonwhite,Male,55 to 59,NA,124000
1909,Nonwhite,Male,60 to 64,NA,109000
1909,Nonwhite,Male,65 to 69,NA,71000
1909,Nonwhite,Male,70 to 74,NA,43000
1909,Nonwhite,Male,75 years and over,NA,47000
1909,Nonwhite,Male,Under 5,NA,652000
1909,White,Female,10 to 14,NA,3864000
